year,0
1750,4.93
1751,5.6949999999999985
1752,4.186666666666665
1753,4.292499999999999
1754,4.359999999999999
1755,3.9899999999999993
1756,4.044285714285714
1757,3.9849999999999994
1758,4.076666666666666
1759,4.125
1760,4.099090909090908
1761,4.153333333333332
1762,4.173076923076923
1763,4.115000000000002
1764,4.141333333333334
1765,4.150625000000002
1766,4.20294117647059
1767,4.18888888888889
1768,4.2357894736842105
1769,4.276
1770,4.305714285714285
1771,4.365909090909091
1772,4.3952173913043495
1773,4.427083333333334
1774,4.415199999999999
1775,4.425769230769232
1776,4.4214814814814805
1777,4.417142857142856
1778,4.3144827586206915
1779,4.0163333333333355
1780,3.9746129032258075
1781,4.008578629032259
1782,4.031486742424244
1783,4.051916221033869
1784,4.064554621848739
1785,4.084944444444444
1786,4.09490990990991
1787,4.111194879089618
1788,4.129278002699058
1789,4.142756410256412
1790,4.1618414634146355
1791,4.178681765389085
1792,4.185830564784055
1793,4.202954545454546
1794,4.214904040404042
1795,4.223782608695654
1796,4.230277520814063
1797,4.229153368794327
1798,4.240637755102043
1799,4.248110204081634
1800,4.254066666666668
1801,4.26472850678733
1802,4.279201741654575
1803,4.292152341020268
1804,4.2969562289562315
1805,4.3105779220779255
1806,4.316347117794487
1807,4.320638233514826
1808,4.3352805376972565
1809,4.345209039548024
1810,4.360273224043718
1811,4.378117398202013
1812,4.377703533026116
1813,4.384308035714287
1814,4.39004807692308
1815,4.393533799533802
1816,4.394124830393487
1817,4.396057945566286
1818,4.395769394714408
1819,4.402351966873708
1820,4.404657947686118
1821,4.398120109546166
1822,4.405393835616438
1823,4.410462791558681
1824,4.40987027027027
1825,4.422463157894738
1826,4.429191729323309
1827,4.435299700299701
1828,4.459605647517041
1829,4.4670569620253175
1830,4.483287037037037
1831,4.483426678711231
1832,4.500243902439024
1833,4.512160068846814
1834,4.527264705882352
1835,4.537556771545827
1836,4.535676289762096
1837,4.546671891327064
1838,4.548572522982635
1839,4.561008739076154
1840,4.572746031746032
1841,4.581135929288104
1842,4.5913394109396926
1843,4.586179363989935
1844,4.6013896976483775
1845,4.613144736842106
1846,4.621501288659795
1847,4.620460761624237
1848,4.625348381776952
1849,4.62690505050505
1850,4.629650505050503
1851,4.61492323232323
1852,4.6550565656565634
1853,4.661586868686866
1854,4.676409090909088
1855,4.705070707070703
1856,4.697813131313129
1857,4.70182727272727
1858,4.705398989898988
1859,4.705829292929291
1860,4.719846464646464
1861,4.722884848484849
1862,4.732172727272729
1863,4.742032323232326
1864,4.738757575757578
1865,4.743598989898993
1866,4.734495959595964
1867,4.736740404040406
1868,4.724262626262627
1869,4.708579797979802
1870,4.705803030303034
1871,4.702496969696973
1872,4.689264646464652
1873,4.677661616161618
1874,4.687829292929294
1875,4.679413131313133
1876,4.680805050505052
1877,4.684368686868691
1878,4.717327272727276
1879,4.815427272727277
1880,4.833000000000002
1881,4.8362
1882,4.841200000000001
1883,4.839999999999998
1884,4.843299999999999
1885,4.830599999999999
1886,4.823999999999998
1887,4.8278
1888,4.821899999999999
1889,4.818199999999997
1890,4.8234999999999975
1891,4.822499999999998
1892,4.818999999999999
1893,4.813099999999999
1894,4.817399999999999
1895,4.809899999999999
1896,4.8165
1897,4.8239
1898,4.826799999999999
1899,4.826000000000002
1900,4.8305000000000025
1901,4.818300000000001
1902,4.812300000000002
1903,4.804600000000002
1904,4.8004000000000016
1905,4.793500000000002
1906,4.793900000000002
1907,4.795900000000002
1908,4.7985000000000015
1909,4.797900000000004
1910,4.786200000000001
1911,4.789100000000003
1912,4.7840000000000025
1913,4.792400000000004
1914,4.789700000000003
1915,4.787100000000006
1916,4.789500000000006
1917,4.777400000000004
1918,4.782100000000005
1919,4.786300000000006
1920,4.781400000000005
1921,4.8049000000000035
1922,4.812400000000006
1923,4.813800000000006
1924,4.806400000000007
1925,4.803000000000006
1926,4.793300000000006
1927,4.795800000000007
1928,4.772100000000004
1929,4.767200000000006
1930,4.759200000000003
1931,4.770500000000002
1932,4.760000000000002
1933,4.7623000000000015
1934,4.754199999999999
1935,4.745499999999998
1936,4.7509000000000015
1937,4.7372
1938,4.742899999999999
1939,4.7372
1940,4.715299999999999
1941,4.712199999999999
1942,4.7010999999999985
1943,4.7033000000000005
1944,4.690399999999999
1945,4.679099999999998
1946,4.679899999999998
1947,4.6739999999999995
1948,4.6692
1949,4.676800000000002
1950,4.668300000000002
1951,4.662200000000002
1952,4.6643000000000026
1953,4.665400000000002
1954,4.661300000000004
1955,4.661900000000005
1956,4.679800000000004
1957,4.690800000000005
1958,4.672600000000003
1959,4.677100000000005
1960,4.663800000000002
1961,4.6540000000000035
1962,4.6434000000000015
1963,4.636300000000002
1964,4.645900000000001
1965,4.6480000000000015
1966,4.6448
1967,4.644100000000002
1968,4.647500000000001
1969,4.6533000000000015
1970,4.652700000000001
1971,4.648600000000002
1972,4.657600000000002
1973,4.667400000000004
1974,4.665600000000005
1975,4.676400000000003
1976,4.671300000000004
1977,4.667000000000003
1978,4.655500000000002
1979,4.640800000000002
1980,4.629000000000001
1981,4.612400000000003
1982,4.607100000000001
1983,4.603700000000002
1984,4.602400000000003
1985,4.613300000000001
1986,4.6279
1987,4.627699999999999
1988,4.6244
1989,4.620699999999999
1990,4.617699999999999
1991,4.622999999999999
1992,4.6251999999999995
1993,4.624299999999998
1994,4.616099999999996
1995,4.617499999999994
1996,4.603799999999994
1997,4.591799999999992
1998,4.595499999999994
1999,4.601499999999994
2000,4.5945999999999945
2001,4.605799999999993
2002,4.608899999999991
2003,4.605199999999991
2004,4.610499999999991
2005,4.61179999999999
2006,4.611099999999993
2007,4.612999999999992
2008,4.598199999999995
2009,4.588099999999995
2010,4.587499999999995
2011,4.577299999999996
2012,4.594199999999995
2013,4.591999999999993
