year,avg_temp,avg_temp_louisville,avg_temp_10y_avg,avg_temp_louisville_10y_avg,avg_temp_25y_avg,avg_temp_louisville_25y_avg,avg_temp_100y_avg,avg_temp_louisville_100y_avg,avg_temp_100y_delta,avg_temp_louisville_100y_delta
1750,8.72,13.65,8.72,13.65,8.72,13.65,8.72,13.65,,
1751,7.98,14.44,8.350000000000001,14.045,8.350000000000001,14.045,8.350000000000001,14.045,-0.3699999999999992,0.3949999999999996
1752,5.78,6.95,7.493333333333335,11.68,7.493333333333335,11.68,7.493333333333335,11.68,-0.6133333333333328,-0.9850000000000003
1753,8.39,13.0,7.717500000000001,12.01,7.717500000000001,12.01,7.717500000000001,12.01,-0.3341666666666665,-0.5466666666666669
1754,8.47,13.1,7.868,12.228,7.868,12.228,7.868,12.228,-0.21300000000000008,-0.35550000000000015
1755,8.36,10.5,7.95,11.94,7.95,11.94,7.95,11.94,-0.15400000000000008,-0.3420000000000002
1756,8.85,13.22,8.07857142857143,12.122857142857143,8.07857142857143,12.122857142857143,8.07857142857143,12.122857142857143,-0.1069047619047619,-0.2545238095238096
1757,9.02,12.59,8.196250000000001,12.18125,8.196250000000001,12.18125,8.196250000000001,12.18125,-0.07482142857142852,-0.20982142857142858
1758,6.74,11.55,8.034444444444444,12.11111111111111,8.034444444444444,12.11111111111111,8.034444444444444,12.11111111111111,-0.08569444444444452,-0.1923611111111112
1759,7.99,12.55,8.03,12.155,8.03,12.155,8.03,12.155,-0.07666666666666681,-0.1661111111111112
1760,7.19,11.03,7.877,11.892999999999997,7.953636363636363,12.052727272727271,7.953636363636363,12.052727272727271,-0.07663636363636375,-0.15972727272727294
1761,8.77,13.52,7.955999999999999,11.800999999999998,8.021666666666667,12.174999999999999,8.021666666666667,12.174999999999999,-0.06348484848484856,-0.13409090909090923
1762,8.61,13.02,8.238999999999999,12.408,8.066923076923077,12.24,8.066923076923077,12.24,-0.054423076923076984,-0.11750000000000001
1763,7.5,10.86,8.149999999999999,12.193999999999999,8.026428571428571,12.141428571428573,8.026428571428571,12.141428571428573,-0.05335164835164841,-0.11604395604395593
1764,8.4,12.91,8.142999999999999,12.175,8.051333333333334,12.192666666666668,8.051333333333334,12.192666666666668,-0.04776190476190477,-0.10409523809523805
1765,8.25,12.54,8.132,12.379,8.063749999999999,12.214375,8.063749999999999,12.214375,-0.043750000000000115,-0.09570833333333333
1766,8.41,13.45,8.088,12.401999999999997,8.084117647058822,12.287058823529412,8.084117647058822,12.287058823529412,-0.03974264705882369,-0.08518382352941178
1767,8.22,12.17,8.008,12.359999999999996,8.091666666666665,12.280555555555555,8.091666666666665,12.280555555555555,-0.036960784313725625,-0.0805555555555556
1768,6.78,11.86,8.012,12.390999999999998,8.022631578947367,12.258421052631578,8.022631578947367,12.258421052631578,-0.03874269005847965,-0.07730994152046794
1769,7.69,12.73,7.982000000000001,12.408999999999999,8.005999999999998,12.281999999999998,8.005999999999998,12.281999999999998,-0.03757894736842117,-0.0720000000000001
1770,7.69,12.59,8.032,12.564999999999998,7.99095238095238,12.296666666666665,7.99095238095238,12.296666666666665,-0.036452380952381035,-0.06766666666666676
1771,7.85,13.48,7.94,12.560999999999996,7.9845454545454535,12.350454545454545,7.9845454545454535,12.350454545454545,-0.0350216450216451,-0.061883116883116936
1772,8.19,13.23,7.898000000000001,12.581999999999997,7.993478260869564,12.388695652173913,7.993478260869564,12.388695652173913,-0.033023715415019854,-0.057332015810276686
1773,8.22,13.38,7.970000000000001,12.833999999999998,8.002916666666666,12.43,8.002916666666666,12.43,-0.031177536231884125,-0.053043478260869595
1774,8.77,12.9,8.007,12.832999999999998,8.0336,12.448799999999999,8.0336,12.448799999999999,-0.02860000000000003,-0.050050000000000074
1775,9.18,13.87,8.1,12.966,8.052,12.4576,8.077692307692306,12.503461538461538,-0.025692307692307778,-0.04586153846153849
1776,8.3,12.61,8.089,12.882,8.0648,12.384400000000001,8.085925925925926,12.507407407407406,-0.02438746438746442,-0.04394586894586901
1777,8.26,12.56,8.093,12.921000000000001,8.164,12.6088,8.092142857142857,12.509285714285713,-0.02325396825396828,-0.04224867724867729
1778,8.54,9.98,8.269,12.733,8.17,12.488000000000001,8.107586206896551,12.422068965517242,-0.02187192118226606,-0.04385467980295564
1779,8.98,4.35,8.398,11.895,8.1904,12.138000000000002,8.136666666666665,12.153,-0.020114942528735715,-0.05162068965517241
1780,9.43,,8.572,11.817777777777778,8.2332,12.206250000000002,8.178387096774193,12.153,-0.018053763440860255,-0.04989999999999999
1781,8.1,13.13,8.597,11.778888888888888,8.203199999999999,12.2025,8.1759375,12.184516129032259,-0.017550403225806477,-0.04727367325702391
1782,7.9,12.65,8.568000000000001,11.714444444444444,8.158399999999999,12.205,8.167575757575756,12.1990625,-0.01726325757575764,-0.04534179687500001
1783,7.68,12.4,8.514000000000001,11.605555555555556,8.196,12.240416666666667,8.153235294117646,12.205151515151515,-0.017174688057041042,-0.04378328741965107
1784,7.86,12.35,8.423000000000002,11.544444444444444,8.1908,12.232083333333334,8.144857142857143,12.209411764705882,-0.016915966386554637,-0.042370242214532894
1785,7.36,12.16,8.241000000000003,11.354444444444443,8.1976,12.279166666666669,8.123055555555556,12.208,-0.017055555555555556,-0.04120000000000001
1786,8.26,12.7,8.237000000000004,11.364444444444443,8.1772,12.245000000000003,8.126756756756757,12.221666666666668,-0.016478978978978986,-0.03967592592592591
1787,8.03,12.73,8.214000000000002,11.383333333333333,8.153999999999998,12.23291666666667,8.124210526315789,12.235405405405407,-0.0161024182076814,-0.03823228634039441
1788,8.45,13.24,8.205000000000004,11.745555555555553,8.191999999999998,12.332083333333337,8.132564102564102,12.26184210526316,-0.01545883940620787,-0.03653047091412739
1789,8.33,12.98,8.140000000000004,12.704444444444443,8.189199999999998,12.335000000000003,8.1375,12.280256410256412,-0.014935897435897471,-0.035121630506245866
1790,7.98,12.89,7.9950000000000045,12.722999999999999,8.178399999999998,12.349583333333335,8.133658536585365,12.2955,-0.01465853658536589,-0.0338625
1791,8.23,13.08,8.008000000000006,12.718,8.171199999999997,12.334166666666668,8.13595238095238,12.314634146341465,-0.01424506387921025,-0.03256989886972037
1792,8.09,12.57,8.027000000000005,12.709999999999999,8.165999999999999,12.350833333333334,8.134883720930231,12.320714285714287,-0.01393133997785165,-0.031649659863945565
1793,8.23,13.15,8.082000000000004,12.785,8.223999999999997,12.404583333333333,8.137045454545454,12.34,-0.013557082452431311,-0.030465116279069778
1794,8.53,13.25,8.149000000000004,12.875,8.257599999999998,12.426249999999998,8.145777777777777,12.360681818181819,-0.01305050505050508,-0.02930268595041322
1795,8.35,12.96,8.248000000000005,12.955000000000002,8.283999999999997,12.441666666666665,8.150217391304347,12.374,-0.01266183574879231,-0.02835555555555555
1796,8.27,12.79,8.249000000000004,12.964000000000002,8.300799999999999,12.412916666666666,8.152765957446807,12.38304347826087,-0.012331174838112911,-0.027542533081285448
1797,8.51,12.68,8.297000000000004,12.959000000000003,8.313599999999997,12.389999999999999,8.160208333333332,12.389361702127658,-0.011910460992907854,-0.026822091444092384
1798,8.67,13.44,8.319000000000004,12.979000000000003,8.331599999999998,12.392499999999998,8.170612244897958,12.41125,-0.011445578231292552,-0.02580729166666666
1799,8.51,13.11,8.337000000000005,12.992000000000004,8.321199999999997,12.40125,8.177399999999999,12.425510204081633,-0.011073469387755143,-0.024989587671803426
1800,8.48,13.02,8.387000000000004,13.005000000000006,8.293199999999995,12.365833333333333,8.183333333333332,12.4374,-0.010733333333333378,-0.024252000000000003
1801,8.59,13.38,8.423000000000005,13.035000000000005,8.304799999999995,12.397916666666665,8.191153846153846,12.455882352941176,-0.010369532428355982,-0.023414071510957344
1802,8.58,13.59,8.472000000000005,13.137000000000006,8.317599999999997,12.44083333333333,8.198490566037734,12.477692307692308,-0.010029027576197443,-0.022544378698224846
1803,8.5,13.46,8.499000000000004,13.168000000000006,8.315999999999997,12.585833333333328,8.204074074074073,12.496226415094341,-0.009734451432564665,-0.021769312922748286
1804,8.84,13.38,8.530000000000005,13.181000000000006,8.310399999999998,12.962083333333327,8.215636363636362,12.512592592592593,-0.009340067340067384,-0.021063100137174204
1805,8.56,13.6,8.551000000000005,13.245000000000005,8.275599999999997,12.987599999999995,8.221785714285712,12.532363636363637,-0.009058441558441611,-0.02032066115702478
1806,8.43,13.06,8.567000000000005,13.272000000000006,8.288799999999998,12.984799999999996,8.225438596491227,12.541785714285714,-0.008831453634085249,-0.01978954081632654
1807,8.28,12.84,8.544000000000006,13.288000000000006,8.303999999999997,12.992399999999996,8.226379310344825,12.547017543859651,-0.008660012099213606,-0.019350569405971043
1808,7.63,12.81,8.440000000000005,13.225000000000005,8.301999999999998,13.008799999999997,8.216271186440675,12.551551724137932,-0.0086849795441263,-0.01893876337693222
1809,7.08,12.02,8.297000000000004,13.116000000000009,8.270799999999998,12.995599999999994,8.197333333333331,12.542542372881355,-0.00885875706214694,-0.018770468256248223
1810,6.92,12.19,8.141000000000004,13.033000000000007,8.253199999999996,12.996799999999993,8.176393442622949,12.536666666666667,-0.009060109289617528,-0.018555555555555554
1811,6.86,12.33,7.9680000000000035,12.928000000000008,8.197199999999997,12.981999999999994,8.155161290322578,12.533278688524591,-0.009259650978318403,-0.01830690674549851
1812,7.05,11.42,7.815000000000003,12.711000000000007,8.157999999999998,12.929599999999994,8.137619047619046,12.515322580645162,-0.00939324116743476,-0.018301248699271595
1813,7.74,12.54,7.7390000000000025,12.619000000000005,8.129599999999998,12.901599999999995,8.131406249999998,12.515714285714285,-0.009342757936507982,-0.018004535147392305
1814,7.59,12.35,7.6140000000000025,12.516000000000005,8.099999999999998,12.876399999999995,8.12307692307692,12.513125,-0.009326923076923122,-0.017763671874999998
1815,7.24,11.87,7.482000000000002,12.343000000000007,8.0704,12.835599999999994,8.109696969696968,12.50323076923077,-0.009389277389277431,-0.01764260355029585
1816,6.94,11.39,7.333000000000001,12.176000000000005,8.018799999999999,12.767999999999995,8.09223880597015,12.486363636363636,-0.009511533242876536,-0.017630853994490363
1817,6.98,11.52,7.203000000000001,12.044000000000006,7.974399999999998,12.725999999999994,8.075882352941177,12.471940298507462,-0.009613696224758566,-0.017582980619291613
1818,7.83,12.21,7.223000000000002,11.984000000000005,7.958399999999999,12.688399999999994,8.07231884057971,12.468088235294118,-0.009524722932651334,-0.017381055363321796
1819,7.37,12.23,7.2520000000000024,12.005000000000006,7.911999999999999,12.647599999999995,8.062285714285714,12.464637681159422,-0.009532091097308498,-0.017179164041167802
1820,7.62,12.19,7.322000000000003,12.005000000000006,7.8828,12.616799999999996,8.056056338028169,12.460714285714287,-0.009484909456740454,-0.016989795918367332
1821,8.09,12.03,7.445000000000003,11.975000000000007,7.8755999999999995,12.586399999999994,8.056527777777779,12.454647887323945,-0.009344679186228473,-0.01683594524895852
1822,8.19,13.11,7.559000000000003,12.144000000000007,7.8628,12.603599999999995,8.058356164383563,12.463750000000001,-0.009189497716894972,-0.016475694444444435
1823,7.72,12.5,7.557000000000004,12.140000000000006,7.8248,12.565999999999995,8.053783783783786,12.464246575342466,-0.009126249537208427,-0.016243197598048414
1824,8.55,12.91,7.653000000000003,12.196000000000007,7.826400000000001,12.557999999999995,8.060400000000001,12.470270270270271,-0.008913513513513504,-0.01594229364499634
1825,8.39,13.74,7.768000000000003,12.383000000000006,7.822800000000001,12.586799999999997,8.064736842105264,12.487200000000001,-0.00873684210526316,-0.015503999999999987
1826,8.36,13.29,7.910000000000004,12.573000000000006,7.8136,12.583199999999998,8.06857142857143,12.497763157894738,-0.008571428571428568,-0.015161011080332397
1827,8.81,13.7,8.093000000000004,12.791000000000007,7.8228,12.587599999999998,8.078076923076923,12.513376623376624,-0.00833666333666335,-0.01476134255355034
1828,8.17,14.5,8.127000000000004,13.020000000000007,7.8096,12.629199999999999,8.079240506329114,12.538846153846155,-0.008214865303472903,-0.014245562130177506
1829,7.94,12.99,8.184000000000003,13.096000000000009,7.773599999999999,12.613599999999998,8.0775,12.544556962025318,-0.008132911392405065,-0.013992949847780788
1830,8.52,14.28,8.274000000000003,13.30500000000001,7.771999999999999,12.640799999999997,8.082962962962963,12.56625,-0.007962962962962972,-0.013546875000000003
1831,7.64,12.14,8.229000000000003,13.316000000000011,7.740399999999998,12.603999999999996,8.077560975609757,12.560987654320988,-0.007931345980126469,-0.013444596860234727
1832,7.45,13.32,8.155000000000003,13.337000000000012,7.707199999999998,12.623199999999997,8.07,12.570243902439024,-0.007926829268292686,-0.013167757287328975
1833,8.01,13.5,8.184000000000003,13.437000000000012,7.722399999999998,12.650799999999997,8.069285714285716,12.58144578313253,-0.007839931153184156,-0.012874147191174343
1834,8.15,13.93,8.144000000000004,13.539000000000012,7.765199999999997,12.727199999999998,8.070235294117648,12.5975,-0.007735294117647057,-0.012529761904761908
1835,7.39,12.8,8.044000000000004,13.445000000000013,7.783999999999997,12.751599999999998,8.06232558139535,12.599882352941176,-0.0077373461012311935,-0.012354325259515582
1836,7.7,12.08,7.978000000000004,13.324000000000016,7.817599999999996,12.741599999999998,8.05816091954023,12.593837209302325,-0.007695803261160127,-0.012280962682531104
1837,7.38,12.88,7.8350000000000035,13.242000000000015,7.8307999999999955,12.799999999999997,8.050454545454546,12.59712643678161,-0.007695924764890286,-0.012101994979521736
1838,7.51,12.23,7.769000000000004,13.015000000000015,7.821599999999995,12.787599999999998,8.044382022471911,12.592954545454546,-0.007677477017364653,-0.012011880165289252
1839,7.63,13.29,7.738000000000004,13.045000000000012,7.823199999999995,12.825199999999997,8.039777777777779,12.600786516853933,-0.007642946317103614,-0.011788915540967046
1840,7.8,13.42,7.666000000000004,12.959000000000012,7.845599999999995,12.887199999999998,8.037142857142857,12.60988888888889,-0.007587301587301592,-0.011556790123456789
1841,7.69,13.03,7.671000000000004,13.048000000000012,7.875599999999995,12.952799999999998,8.033369565217392,12.614505494505496,-0.007545389393215485,-0.011379060499939614
1842,8.02,13.54,7.728000000000003,13.070000000000013,7.917199999999996,13.0336,8.033225806451613,12.624565217391305,-0.007464936886395519,-0.011146030245746685
1843,8.17,12.28,7.744000000000002,12.948000000000013,7.930799999999994,13.036399999999999,8.034680851063829,12.620860215053764,-0.007369023106840555,-0.011066019192970287
1844,7.65,13.67,7.694000000000003,12.922000000000011,7.941999999999995,13.094,8.030631578947368,12.632021276595745,-0.007333706606942902,-0.01082956088727931
1845,7.85,13.57,7.740000000000002,12.99900000000001,7.951199999999995,13.149199999999999,8.02875,12.641894736842106,-0.007276315789473685,-0.010611634349030464
1846,8.55,13.96,7.825000000000001,13.187000000000008,7.9695999999999945,13.226399999999998,8.034123711340206,12.655625,-0.007144544673539532,-0.010358072916666664
1847,8.09,12.61,7.896000000000003,13.160000000000007,7.965599999999995,13.206399999999999,8.034693877551021,12.655154639175258,-0.007065011571638965,-0.01025613774046126
1848,7.98,13.08,7.943000000000002,13.24500000000001,7.975999999999995,13.229599999999998,8.034141414141414,12.659489795918367,-0.006998556998557001,-0.010107246980424835
1849,7.98,12.76,7.978000000000003,13.19200000000001,7.953199999999994,13.223599999999998,8.0336,12.66050505050505,-0.006933333333333342,-0.009994898479746977
1850,7.9,13.11,7.988000000000004,13.16100000000001,7.933599999999995,13.198399999999998,8.0254,12.655050505050502,-0.006946000000000012,-0.009949494949494984
1851,8.18,13.18,8.037000000000003,13.17600000000001,7.926399999999994,13.193999999999996,8.027399999999998,12.642323232323228,-0.003226000000000031,-0.014026767676767716
1852,8.1,13.22,8.045000000000003,13.14400000000001,7.8979999999999935,13.174799999999998,8.0506,12.705656565656563,0.005572666666666643,0.01025656565656563
1853,8.04,13.3,8.032000000000004,13.246000000000013,7.892799999999994,13.126799999999998,8.047099999999999,12.708686868686865,0.0032959999999999743,0.00698686868686865
1854,8.21,14.31,8.088000000000003,13.310000000000013,7.903599999999995,13.179599999999999,8.0445,12.720909090909087,0.0017649999999999899,0.004929090909090874
1855,8.11,13.09,8.114000000000003,13.262000000000015,7.887199999999995,13.131999999999998,8.042,12.747070707070703,0.0009199999999999963,0.008070707070707037
1856,8.0,11.66,8.059000000000003,13.032000000000014,7.901599999999995,13.1128,8.033499999999998,12.731313131313128,-0.0004507142857143087,0.006084559884559848
1857,7.76,11.74,8.026000000000003,12.945000000000016,7.913999999999995,13.0496,8.0209,12.722727272727269,-0.0017535000000000168,0.005414772727272687
1858,8.1,13.25,8.038000000000002,12.962000000000014,7.917599999999996,13.0396,8.0345,12.739898989898988,5.555555555503133e-07,0.006287878787878771
1859,8.25,12.85,8.065000000000001,12.971000000000014,7.921599999999995,12.996400000000001,8.037099999999999,12.74292929292929,7.099999999999441e-05,0.005879292929292905
1860,7.96,13.18,8.071000000000002,12.978000000000014,7.944399999999996,13.011600000000001,8.044799999999999,12.764646464646463,0.0009116363636363545,0.0071191919191919166
1861,7.85,12.91,8.038,12.951000000000013,7.950399999999997,13.044800000000002,8.035599999999999,12.758484848484848,0.00013933333333332243,0.00583484848484849
1862,7.56,12.9,7.984,12.919000000000015,7.957599999999997,13.045600000000002,8.025099999999998,12.757272727272728,-0.00041823076923078515,0.005172727272727276
1863,8.11,12.44,7.991,12.833000000000013,7.981599999999997,13.054,8.031199999999998,12.773232323232325,4.7714285714270945e-05,0.006318037518037513
1864,7.98,12.17,7.968000000000001,12.61900000000001,7.995599999999996,13.0092,8.027,12.765757575757577,-0.0002433333333333465,0.005730909090909097
1865,8.18,12.95,7.975000000000001,12.60500000000001,8.010799999999996,12.9904,8.026299999999999,12.769898989898993,-0.0003744999999999976,0.005555239898989921
1866,8.29,12.43,8.004000000000001,12.682000000000011,8.034799999999995,12.9664,8.025099999999998,12.759595959595963,-0.0005901764705882329,0.004725371360665509
1867,8.44,12.61,8.072000000000001,12.769000000000013,8.051599999999995,12.929200000000002,8.027299999999999,12.764040404040404,-0.0006436666666666646,0.004834848484848493
1868,8.25,12.08,8.087000000000002,12.652000000000012,8.054799999999995,12.9212,8.042,12.766262626262627,0.00019368421052632813,0.005078415736310493
1869,8.43,11.91,8.105,12.558000000000012,8.085999999999995,12.850800000000001,8.049399999999999,12.7579797979798,0.00043400000000000106,0.004759797979798019
1870,8.2,12.82,8.129000000000001,12.522000000000011,8.099999999999996,12.820800000000002,8.054499999999997,12.760303030303032,0.0006354761904761741,0.004636363636363665
1871,8.12,13.42,8.156000000000002,12.573000000000011,8.082799999999995,12.799200000000003,8.057199999999998,12.759696969696972,0.0007265454545454464,0.004092424242424269
1872,8.19,11.92,8.219000000000003,12.475000000000009,8.086799999999995,12.771600000000003,8.057199999999998,12.74646464646465,0.0006372173913043433,0.0035776899429073696
1873,8.35,12.36,8.243000000000002,12.467000000000008,8.101599999999996,12.742800000000004,8.058499999999999,12.736161616161617,0.0005558333333333288,0.003061616161616172
1874,8.43,13.57,8.288,12.607000000000006,8.119599999999997,12.775200000000005,8.055099999999998,12.742929292929292,0.00021499999999997855,0.002941292929292931
1875,7.86,11.73,8.256,12.485000000000007,8.117999999999997,12.720000000000004,8.041899999999998,12.721313131313131,-0.000357923076923079,0.0021785159285159315
1876,8.08,12.53,8.235,12.495000000000005,8.113999999999997,12.694000000000003,8.0397,12.720505050505052,-0.00046225925925925894,0.002130976430976457
1877,8.54,13.19,8.245,12.553000000000004,8.131599999999997,12.692800000000002,8.042499999999999,12.72686868686869,-0.0004964285714285843,0.002175829725829761
1878,8.83,13.53,8.302999999999999,12.698000000000004,8.163199999999996,12.702,8.045399999999999,12.762727272727275,-0.0006218620689655196,0.0034065830721003287
1879,8.17,13.26,8.276999999999997,12.833000000000004,8.161599999999996,12.66,8.037299999999998,12.852727272727275,-0.0009936666666666661,0.006997272727272748
1880,8.12,13.3,8.268999999999998,12.881000000000006,8.161999999999995,12.668400000000002,8.0242,12.857200000000002,-0.001541870967741925,0.00704200000000002
1881,8.27,13.62,8.283999999999997,12.901000000000007,8.172799999999997,12.7468,8.0259,12.8621,-0.0015003749999999982,0.006775838709677409
1882,8.13,13.38,8.277999999999997,13.047000000000008,8.187599999999996,12.8124,8.0282,12.8694,-0.0013937575757575614,0.0067033750000000045
